trade_date,close_x,pct_chg_x,vol_x,close_y,pct_chg_y,vol_y
20100104,3243.76,-1.0185,109447927.0,3535.229,-1.1314,66101080.0
20100105,3282.179,1.1844,126115066.0,3564.038,0.8149,85809641.0
20100106,3254.215,-0.852,123651384.0,3541.727,-0.626,78473125.0
20100107,3192.776,-1.888,128652827.0,3471.456,-1.9841,80350037.0
20100108,3195.997,0.1009,98377147.0,3480.13,0.2499,60790253.0
20100111,3212.75,0.5242,136327216.0,3482.052,0.0552,89980172.0
20100112,3273.966,1.9054,140655241.0,3534.916,1.5182,93743278.0
20100113,3172.658,-3.0944,158344278.0,3421.144,-3.2185,112457901.0
20100114,3215.55,1.3519,135954504.0,3469.051,1.4003,83353252.0
20100115,3224.152,0.2675,120541135.0,3482.738,0.3945,72543102.0
20100118,3237.098,0.4015,135067238.0,3500.684,0.5153,82854307.0
20100119,3246.874,0.302,129943532.0,3507.482,0.1942,74883232.0
20100120,3151.85,-2.9266,158243112.0,3394.434,-3.2231,92495146.0
20100121,3158.863,0.2225,114337079.0,3408.574,0.4166,70595068.0
20100122,3128.588,-0.9584,137758538.0,3366.197,-1.2432,88933404.0
20100125,3094.411,-1.0924,78361862.0,3328.014,-1.1343,56849171.0
20100126,3019.394,-2.4243,93507092.0,3242.797,-2.4925,61752231.0
20100127,2986.607,-1.0859,76552214.0,3198.566,-1.364,52691394.0
20100128,2994.143,0.2523,73365767.0,3206.57,0.2502,46990716.0
20100129,2989.292,-0.162,80475875.0,3204.155,-0.0753,50262613.0
20100201,2941.36,-1.6035,88147114.0,3152.707,-1.6057,57001380.0
20100202,2934.713,-0.226,82485789.0,3146.189,-0.2067,50130033.0
20100203,3003.835,2.3553,101022537.0,3230.715,2.6866,64798894.0
20100204,2995.308,-0.2839,99918364.0,3218.802,-0.3687,58972726.0
20100205,2939.402,-1.8665,97274989.0,3153.087,-2.0416,59105845.0
20100208,2935.174,-0.1438,63299582.0,3150.988,-0.0666,37355951.0
20100209,2948.842,0.4657,62282207.0,3169.19,0.5777,35953158.0
20100210,2982.5,1.1414,55588005.0,3214.13,1.418,34219894.0
20100211,2985.499,0.1006,56646305.0,3220.398,0.195,35791052.0
20100212,3018.133,1.0931,56092124.0,3251.278,0.9589,34058238.0
20100222,3003.398,-0.4882,68505143.0,3233.345,-0.5516,38283772.0
20100223,2982.575,-0.6933,80392858.0,3198.634,-1.0735,42742898.0
20100224,3022.177,1.3278,92918962.0,3244.483,1.4334,49989437.0
20100225,3060.618,1.272,119670781.0,3292.128,1.4685,67586617.0
20100226,3051.943,-0.2834,101296291.0,3281.666,-0.3178,52107288.0
20100301,3087.842,1.1763,111038878.0,3324.423,1.3029,60504520.0
20100302,3073.108,-0.4772,105327647.0,3311.236,-0.3967,57034374.0
20100303,3097.005,0.7776,117156519.0,3335.081,0.7201,60622732.0
20100304,3023.373,-2.3775,126383889.0,3250.573,-2.5339,69346810.0
20100305,3031.065,0.2544,92259665.0,3259.764,0.2828,45629138.0
20100308,3053.232,0.7313,81011950.0,3286.178,0.8103,41540876.0
20100309,3069.141,0.5211,92381803.0,3305.863,0.599,54199486.0
20100310,3048.927,-0.6586,84612953.0,3279.694,-0.7916,46421079.0
20100311,3051.282,0.0772,79872195.0,3276.705,-0.0911,47487754.0
20100312,3013.412,-1.2411,71418912.0,3233.126,-1.33,39957344.0
20100315,2976.939,-1.2104,63749768.0,3183.183,-1.5447,37844304.0
20100316,2992.841,0.5342,59627991.0,3203.971,0.6531,30847780.0
20100317,3050.479,1.9259,87085699.0,3273.916,2.1831,45800934.0
20100318,3046.089,-0.1439,91379124.0,3267.555,-0.1943,46948013.0
